user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Items/hr(Shift),Lines_Per_Hour2,Lines/hr(Shift),Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Day_of_Week
davidm,2:08 AM,171,6:08 AM,183.9,131.2,38.9,27.8,2.85,111,524,35,1
jackr,1:32 AM,0,1:32 AM,0.0,0.0,0.0,0.0,0.0,1,0,0,1
justin,12:20 AM,194,5:30 AM,184.9,115.9,40.5,25.4,3.23,131,598,41,1
levi,2:05 AM,82,5:13 AM,256.8,112.2,53.4,23.3,1.37,73,351,23,1
ben,10:11 PM,230,5:48 AM,159.9,80.4,68.3,34.4,3.83,262,613,16,2
damir,8:07 AM,172,11:23 AM,340.1,298.0,36.3,31.8,2.87,104,975,6,2
davidm,10:22 PM,234,4:40 AM,141.0,87.2,41.3,25.5,3.9,161,550,10,2
gregory,10:09 PM,349,4:19 AM,89.9,84.9,38.5,36.4,5.82,224,523,14,2
justin,6:17 PM,307,1:35 AM,141.9,99.6,46.1,32.4,5.12,236,726,15,2
levi,10:05 PM,239,2:19 AM,52.2,49.0,12.8,12.0,3.98,51,208,3,2
spiro,12:14 AM,283,6:00 AM,180.4,147.5,39.2,32.1,4.72,185,851,11,2
steve,8:13 PM,273,3:15 AM,235.6,152.2,54.1,34.9,4.55,246,1072,15,2
tim,10:12 PM,258,3:23 AM,133.5,110.6,32.8,27.2,4.3,141,574,9,2
ben,10:12 PM,131,3:52 AM,253.3,97.4,74.7,28.7,2.18,163,553,10,3
damir,8:25 AM,203,2:47 PM,224.9,119.5,46.7,24.8,3.38,158,761,10,3
davidm,10:14 PM,217,3:39 AM,152.1,101.6,55.6,37.1,3.62,201,550,13,3
gregory,10:13 PM,407,5:16 AM,92.0,88.5,33.5,32.2,6.78,227,624,14,3
justin,6:19 PM,256,1:56 AM,305.6,171.2,38.7,21.7,4.27,165,1304,10,3
kane,7:00 AM,165,2:26 PM,197.8,73.2,39.6,14.7,2.75,109,544,7,3
lachlyn,8:37 AM,195,3:41 PM,232.6,106.9,58.2,26.7,3.25,189,756,12,3
levi,10:20 PM,188,3:08 AM,141.4,92.1,29.7,19.3,3.13,93,443,6,3
spiro,12:20 AM,143,6:25 AM,118.7,46.5,29.8,11.7,2.38,71,283,4,3
steve,8:07 PM,296,3:41 AM,174.7,113.9,45.8,29.9,4.93,226,862,14,3
damir,8:17 AM,133,12:50 PM,291.9,142.2,38.8,18.9,2.22,86,647,4,4
davidm,8:21 PM,385,5:48 AM,163.2,110.9,57.8,39.3,6.42,371,1047,18,4
gregory,10:09 PM,405,5:50 AM,129.2,113.4,34.4,30.2,6.75,232,872,11,4
jackr,4:50 PM,30,5:29 PM,290.0,222.8,62.0,47.6,0.5,31,145,2,4
justin,6:26 PM,348,1:49 AM,131.0,102.9,39.1,30.7,5.8,227,760,11,4
kane,7:00 AM,83,12:20 PM,292.8,76.0,43.4,11.3,1.38,60,405,3,4
levi,8:14 PM,368,5:43 AM,132.9,86.0,42.4,27.4,6.13,260,815,13,4
richie,4:42 AM,102,6:41 AM,210.6,180.7,71.2,61.1,1.7,121,358,6,4
spiro,12:07 AM,240,4:28 AM,180.0,165.1,41.0,37.6,4.0,164,720,8,4
steve,8:08 PM,330,3:47 AM,226.0,162.3,48.2,34.6,5.5,265,1243,13,4
tim,10:26 PM,278,5:49 AM,77.9,48.9,30.0,18.8,4.63,139,361,7,4
Troy,8:17 AM,179,3:35 PM,92.8,38.0,36.5,14.9,2.98,109,277,5,4
damir,8:08 AM,82,2:30 PM,226.1,48.5,49.8,10.7,1.37,68,309,21,5
jessek,6:53 AM,13,7:06 AM,415.4,418.1,55.4,55.7,0.22,12,90,4,5
kane,7:04 AM,84,10:00 AM,162.9,77.7,47.1,22.5,1.4,66,228,20,5
lachlyn,8:50 AM,154,3:44 PM,157.8,58.7,28.1,10.4,2.57,72,405,22,5
richie,6:53 AM,12,7:05 AM,5.0,5.2,15.0,15.5,0.2,3,1,1,5
Troy,8:10 AM,191,3:25 PM,189.7,83.2,34.2,15.0,3.18,109,604,33,5
