user_name,Avg Items/Hr,Avg Lines/Hr,Avg Hours Picking,Min Items/Hr,Min Lines/Hr,Min Hours Picking,Max Items/Hr,Max Lines/Hr,Max Hours Picking
ben,130.63333333333333,43.13333333333333,4.203333333333333,102.7,36.5,3.55,165.4,47.7,4.83
davidm,96.06666666666666,35.13333333333333,3.4633333333333334,77.3,30.2,0.58,108.3,40.8,5.18
gregory,104.52,34.06,5.718,82.0,26.9,5.25,117.3,39.7,6.12
levi,124.58333333333331,35.583333333333336,5.205,104.4,25.9,3.75,145.5,41.4,6.92
steve,138.4,40.1,4.72,138.4,40.1,4.72,138.4,40.1,4.72
tim,85.1,28.85,5.2525,70.0,23.2,4.43,101.2,31.1,5.93
davidm,84.82000000000001,29.6,4.164,63.6,21.3,3.1,102.6,37.9,6.07
gregory,91.44,33.46,5.598000000000001,73.0,28.0,4.28,116.9,43.0,7.2
levi,78.92,29.42,3.372,43.6,15.9,0.47,110.4,42.4,6.62
spiro,117.93333333333334,29.633333333333336,1.96,59.7,23.6,1.25,161.7,38.5,2.9
steve,104.6,31.825000000000003,4.2125,92.7,29.6,3.62,129.5,34.2,4.78
tim,112.5,33.95,2.975,107.7,31.2,1.12,117.3,36.7,4.83
ben,119.9,36.6,2.32,110.3,32.1,0.12,138.0,43.1,4.25
davidm,98.22,29.78,3.676,81.2,22.8,3.05,129.3,35.7,4.1
gregory,112.0,30.24,5.343999999999999,93.8,22.3,4.37,135.7,37.4,6.67
levi,92.14,22.08,3.762000000000001,16.8,5.6,0.63,130.5,30.1,5.48
spiro,143.575,33.475,2.4025,117.7,25.1,1.52,160.5,43.6,3.23
steve,121.44,28.9,4.62,96.8,23.9,3.55,144.5,33.2,5.25
tim,54.833333333333336,19.6,2.58,24.5,12.6,0.77,77.6,24.8,3.6
ben,88.9,31.55,3.005,80.4,28.7,2.18,97.4,34.4,3.83
davidm,107.725,32.425,4.1975,87.2,25.5,2.85,131.2,39.3,6.42
gregory,95.6,32.93333333333333,6.45,84.9,30.2,5.82,113.4,36.4,6.78
levi,84.825,20.5,3.6525,49.0,12.0,1.37,112.2,27.4,6.13
spiro,119.7,27.133333333333336,3.7,46.5,11.7,2.38,165.1,37.6,4.72
steve,142.79999999999998,33.13333333333333,4.993333333333333,113.9,29.9,4.55,162.3,34.9,5.5
tim,79.75,23.0,4.465,48.9,18.8,4.3,110.6,27.2,4.63
Troy,105.55,26.375,4.0725,90.5,21.7,3.08,116.1,33.5,5.03
damir,104.21428571428572,24.414285714285715,4.202857142857143,42.6,9.8,3.12,168.4,41.1,6.33
jackr,96.32,40.38,1.016,16.8,4.6,0.37,198.9,77.5,1.62
jessek,111.825,37.375,1.4775,4.7,1.8,0.78,185.7,52.3,2.13
justin,96.33333333333331,28.1,1.9066666666666665,88.8,24.8,1.7,104.2,29.8,2.17
kane,173.18571428571428,25.12857142857143,2.35,63.7,9.4,1.57,576.9,39.2,3.92
lachlyn,141.16666666666666,32.016666666666666,2.9466666666666668,59.6,14.0,0.23,310.6,53.4,5.78
simonb,252.4,38.2,1.0,185.5,34.9,0.53,302.6,40.6,1.87
spiro,38.4,19.933333333333334,1.91,13.5,4.8,0.55,81.6,49.6,2.8
Troy,126.44,26.64,3.908,111.7,18.0,2.67,142.4,32.3,4.6
damir,86.16,17.44,2.436,35.0,7.4,1.32,176.1,28.8,3.45
jackr,192.5,64.9,0.22,192.5,64.9,0.22,192.5,64.9,0.22
justin,83.6,28.96,5.056,66.0,25.5,4.58,110.5,35.6,5.28
kane,123.78,19.98,2.59,73.6,5.4,1.38,155.9,35.8,3.62
lachlyn,236.9,40.0,1.6,236.9,40.0,1.6,236.9,40.0,1.6
owenl,119.2,21.8,1.85,119.2,21.8,1.85,119.2,21.8,1.85
Troy,155.44,31.2,4.332,117.3,23.0,3.62,193.0,38.0,4.87
damir,153.275,33.225,2.855,105.0,21.7,1.98,196.7,40.9,4.47
justin,89.22,27.84,5.614,73.0,24.6,4.63,98.0,31.6,6.17
kane,148.3,17.619999999999997,2.41,59.8,7.8,1.68,307.6,22.1,3.67
lachlyn,79.86666666666667,16.900000000000002,3.06,58.4,15.1,2.23,119.7,20.3,4.55
owenl,133.1,11.2,2.47,133.1,11.2,2.47,133.1,11.2,2.47
Troy,60.6,14.95,3.08,38.0,14.9,2.98,83.2,15.0,3.18
damir,152.05,21.55,2.46,48.5,10.7,1.37,298.0,31.8,3.38
jessek,418.1,55.7,0.22,418.1,55.7,0.22,418.1,55.7,0.22
justin,122.4,27.55,4.605,99.6,21.7,3.23,171.2,32.4,5.8
kane,75.63333333333334,16.166666666666668,1.843333333333333,73.2,11.3,1.38,77.7,22.5,2.75
lachlyn,82.80000000000001,18.55,2.91,58.7,10.4,2.57,106.9,26.7,3.25
richie,92.95,38.3,0.95,5.2,15.5,0.2,180.7,61.1,1.7
