PICK_GROUP_NAME,Textbox75,Textbox78,Textbox26,psid,psid1,QTY_ORDERED,QTY_PICKED,Group_Pickers,Textbox76,Textbox79,Textbox27,Textbox64,Textbox82,Textbox60,Textbox61,Day_of_Week
2nd Run,317,311,98.11%,32,32,935,879,,2882,2667,92.54%,213,213,10301,10060,1
Airlie Run,157,147,93.63%,22,22,506,491,,2882,2667,92.54%,213,213,10301,10060,1
Bowen,123,118,95.93%,19,19,475,420,,2882,2667,92.54%,213,213,10301,10060,1
Cannonvale,132,129,97.73%,15,15,497,466,,2882,2667,92.54%,213,213,10301,10060,1
Hamilton Island,848,692,81.60%,29,29,3945,3894,,2882,2667,92.54%,213,213,10301,10060,1
Mackay,340,331,97.35%,27,27,964,957,,2882,2667,92.54%,213,213,10301,10060,1
North Mackay,166,163,98.19%,17,17,406,413,,2882,2667,92.54%,213,213,10301,10060,1
Pallet Run 1,204,197,96.57%,12,12,869,854,,2882,2667,92.54%,213,213,10301,10060,1
Pallet Run 2,155,152,98.06%,9,9,565,575,,2882,2667,92.54%,213,213,10301,10060,1
Pallet Run 3,207,203,98.07%,10,10,566,548,,2882,2667,92.54%,213,213,10301,10060,1
pick Up Window 1,90,82,91.11%,10,10,178,176,,2882,2667,92.54%,213,213,10301,10060,1
Proserpine Run,143,142,99.30%,11,11,396,389,,2882,2667,92.54%,213,213,10301,10060,1
,,,,,,,,,,,,,,,,1
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67,1
Chiller,678,662,97.64%,149,149,3273,3243,,2882,2667,92.54%,522,522,10301,10060,1
Dry,1226,1189,96.98%,156,156,3846,3710,,2882,2667,92.54%,522,522,10301,10060,1
Freezer,674,661,98.07%,152,152,2857,2787,,2882,2667,92.54%,522,522,10301,10060,1
Shed,157,155,98.73%,65,65,325,320,,2882,2667,92.54%,522,522,10301,10060,1
,147,0,0.00%,38,0,0,0,,2882,2667,92.54%,522,522,10301,10060,1
2nd Run,178,176,98.88%,15,15,521,520,,226,221,97.79%,19,19,666,649,2
Pallet Run 3,47,45,95.74%,3,3,145,129,,226,221,97.79%,19,19,666,649,2
pick Up Window 1,1,0,0.00%,1,1,0,0,,226,221,97.79%,19,19,666,649,2
,,,,,,,,,,,,,,,,2
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67,2
Chiller,63,63,100.00%,13,13,306,294,,226,221,97.79%,43,43,666,649,2
Dry,83,81,97.59%,13,13,180,178,,226,221,97.79%,43,43,666,649,2
Freezer,70,68,97.14%,11,11,167,164,,226,221,97.79%,43,43,666,649,2
Shed,9,9,100.00%,6,6,13,13,,226,221,97.79%,43,43,666,649,2
,1,0,0.00%,1,0,,,,226,221,97.79%,43,43,666,649,2
2nd Run,39,39,100.00%,11,11,179,204,,2156,2052,95.18%,154,154,9848,9560,3
Airlie Run,205,202,98.54%,19,19,466,461,,2156,2052,95.18%,154,154,9848,9560,3
Bowen,125,121,96.80%,16,16,450,439,,2156,2052,95.18%,154,154,9848,9560,3
Cannonvale,126,126,100.00%,13,13,243,243,,2156,2052,95.18%,154,154,9848,9560,3
Hamilton Island,81,73,90.12%,6,6,379,362,,2156,2052,95.18%,154,154,9848,9560,3
Hamilton Island Warehouse,30,25,83.33%,1,1,2022,2012,,2156,2052,95.18%,154,154,9848,9560,3
Hayman Comms,394,341,86.55%,10,10,1831,1595,,2156,2052,95.18%,154,154,9848,9560,3
Hayman Retail,102,92,90.20%,3,3,765,763,,2156,2052,95.18%,154,154,9848,9560,3
Hayman Stores,26,22,84.62%,2,2,238,237,,2156,2052,95.18%,154,154,9848,9560,3
Mackay,390,385,98.72%,28,28,1124,1109,,2156,2052,95.18%,154,154,9848,9560,3
Pallet,18,17,94.44%,1,1,45,44,,2156,2052,95.18%,154,154,9848,9560,3
Pallet Run 1,257,255,99.22%,13,13,986,983,,2156,2052,95.18%,154,154,9848,9560,3
Pallet Run 2,153,151,98.69%,11,11,673,660,,2156,2052,95.18%,154,154,9848,9560,3
Pallet Run 3,110,109,99.09%,3,3,294,296,,2156,2052,95.18%,154,154,9848,9560,3
pick Up Window 1,25,23,92.00%,2,2,32,33,,2156,2052,95.18%,154,154,9848,9560,3
Pick Up Window 2,21,18,85.71%,6,6,27,26,,2156,2052,95.18%,154,154,9848,9560,3
Proserpine Run,54,53,98.15%,9,9,95,93,,2156,2052,95.18%,154,154,9848,9560,3
,,,,,,,,,,,,,,,,3
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67,3
Chiller,548,530,96.72%,104,104,2971,2913,,2156,2052,95.18%,370,370,9848,9560,3
Dry,982,953,97.05%,119,119,3593,3367,,2156,2052,95.18%,370,370,9848,9560,3
Freezer,477,468,98.11%,105,105,2995,3000,,2156,2052,95.18%,370,370,9848,9560,3
Shed,102,101,99.02%,42,42,289,279,,2156,2052,95.18%,370,370,9848,9560,3
