PICK_GROUP_NAME,Textbox75,Textbox78,Textbox26,psid,psid1,QTY_ORDERED,QTY_PICKED,Group_Pickers,Textbox76,Textbox79,Textbox27,Textbox64,Textbox82,Textbox60,Textbox61
2nd Run,93,86,92.47%,14,14,281,266,,186,176,94.62%,24,24,634,619
Hamilton Island,5,2,40.00%,1,1,2,2,,186,176,94.62%,24,24,634,619
Pallet Run 3,59,59,100.00%,3,3,212,212,,186,176,94.62%,24,24,634,619
Pick Up Window 2,29,29,100.00%,6,6,139,139,,186,176,94.62%,24,24,634,619
,,,,,,,,,,,,,,,
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67
,5,0,0.00%,2,0,0,0,,186,176,94.62%,50,50,634,619
Chiller,47,45,95.74%,13,13,279,267,,186,176,94.62%,50,50,634,619
Dry,65,65,100.00%,15,15,151,151,,186,176,94.62%,50,50,634,619
Freezer,50,47,94.00%,14,14,143,140,,186,176,94.62%,50,50,634,619
Shed,19,19,100.00%,8,8,61,61,,186,176,94.62%,50,50,634,619
