user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
ben,10:09 PM,290,6:19 AM,279.7,165.4,80.7,47.7,4.83,390,1352,20,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100
damir,8:05 AM,284,6:23 AM,293.5,62.3,56.6,12,4.73,268,1389,14,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100
davidm,10:11 PM,35,11:02 PM,150.9,102.6,60,40.8,0.58,35,88,2,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100
jackr,4:32 AM,72,5:56 AM,143.3,123.7,70.8,61.1,1.2,85,172,4,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100
jessek,4:35 AM,128,6:48 AM,114.4,109.9,53.4,51.3,2.13,114,244,6,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100
justin,7:52 PM,102,9:59 PM,120,96,37.1,29.7,1.7,63,204,3,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100
kane,7:04 AM,139,10:32 AM,234.4,156.6,58.7,39.2,2.32,136,543,7,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100
lachlyn,5:43 AM,14,6:00 AM,377.1,310.6,47.1,38.8,0.23,11,88,1,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100
levi,8:30 PM,248,1:42 AM,162.1,128.9,45,35.8,4.13,186,670,10,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100
steve,8:25 PM,283,3:08 AM,197,138.4,57,40.1,4.72,269,929,14,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100
tim,10:22 PM,325,6:00 AM,113.7,80.6,43.6,30.9,5.42,236,616,12,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100
Troy,8:03 AM,185,1:51 PM,195.2,103.8,48.6,25.9,3.08,150,602,8,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100
