PICK_GROUP_NAME,Textbox75,Textbox78,Textbox26,psid,psid1,QTY_ORDERED,QTY_PICKED,Group_Pickers,Textbox76,Textbox79,Textbox27,Textbox64,Textbox82,Textbox60,Textbox61
2nd Run,150,143,95.33%,20,20,499,476,,2920,2691,92.16%,221,221,10240,9931
Airlie Run,241,233,96.68%,26,26,708,684,,2920,2691,92.16%,221,221,10240,9931
Bowen,233,227,97.42%,20,20,647,631,,2920,2691,92.16%,221,221,10240,9931
Cannonvale,155,153,98.71%,13,13,415,413,,2920,2691,92.16%,221,221,10240,9931
Hamilton Island,721,550,76.28%,34,34,2988,2853,,2920,2691,92.16%,221,221,10240,9931
Hayman Comms,73,70,95.89%,2,2,491,486,,2920,2691,92.16%,221,221,10240,9931
Hayman Diner,24,18,75.00%,2,2,42,40,,2920,2691,92.16%,221,221,10240,9931
Hayman Stores,3,1,33.33%,1,1,6,6,,2920,2691,92.16%,221,221,10240,9931
Mackay,250,246,98.40%,23,23,760,772,,2920,2691,92.16%,221,221,10240,9931
North Mackay,202,198,98.02%,12,12,532,521,,2920,2691,92.16%,221,221,10240,9931
Pallet,24,24,100.00%,1,1,87,87,,2920,2691,92.16%,221,221,10240,9931
Pallet Run 1,188,187,99.47%,10,10,949,856,,2920,2691,92.16%,221,221,10240,9931
Pallet Run 2,158,154,97.47%,8,8,603,583,,2920,2691,92.16%,221,221,10240,9931
Pallet Run 3,237,235,99.16%,15,15,760,755,,2920,2691,92.16%,221,221,10240,9931
pick Up Window 1,86,81,94.19%,14,14,242,246,,2920,2691,92.16%,221,221,10240,9931
Pick Up Window 2,21,20,95.24%,7,7,82,83,,2920,2691,92.16%,221,221,10240,9931
Proserpine Run,154,151,98.05%,13,13,429,438,,2920,2691,92.16%,221,221,10240,9931
,,,,,,,,,,,,,,,
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67
,163,0,0.00%,44,0,0,0,,2920,2691,92.16%,509,509,10240,9931
Chiller,688,670,97.38%,149,149,3116,3069,,2920,2691,92.16%,509,509,10240,9931
Dry,1313,1280,97.49%,163,163,4401,4258,,2920,2691,92.16%,509,509,10240,9931
Freezer,617,606,98.22%,142,142,2389,2277,,2920,2691,92.16%,509,509,10240,9931
Shed,139,135,97.12%,55,55,334,327,,2920,2691,92.16%,509,509,10240,9931
