user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
ben,10:14 PM,138,4:00 AM,290.0,115.7,83.0,33.1,2.30,191,667,10,2850,2214.4,1437.4,535.1,348.3,47.51,1966,8319,100
damir,1:12 PM,119,3:51 PM,262.2,196.7,54.5,40.9,1.98,108,520,5,2850,2214.4,1437.4,535.1,348.3,47.51,1966,8319,100
davidm,10:11 PM,204,4:06 AM,151.2,87.0,59.7,34.3,3.40,203,514,10,2850,2214.4,1437.4,535.1,348.3,47.51,1966,8319,100
gregory,10:17 PM,400,5:18 AM,142.7,135.7,39.3,37.4,6.67,262,951,13,2850,2214.4,1437.4,535.1,348.3,47.51,1966,8319,100
justin,6:35 PM,337,1:39 AM,113.9,90.6,31.0,24.6,5.62,174,640,9,2850,2214.4,1437.4,535.1,348.3,47.51,1966,8319,100
kane,7:45 AM,220,2:46 PM,223.9,117.2,37.6,19.7,3.67,138,821,7,2850,2214.4,1437.4,535.1,348.3,47.51,1966,8319,100
lachlyn,8:12 AM,273,3:47 PM,199.6,119.7,33.8,20.3,4.55,154,908,8,2850,2214.4,1437.4,535.1,348.3,47.51,1966,8319,100
levi,10:25 PM,311,5:05 AM,168.0,130.5,38.0,29.5,5.18,197,871,10,2850,2214.4,1437.4,535.1,348.3,47.51,1966,8319,100
spiro,12:25 AM,91,2:12 AM,160.9,136.2,51.4,43.6,1.52,78,244,4,2850,2214.4,1437.4,535.1,348.3,47.51,1966,8319,100
steve,8:15 PM,311,3:49 AM,187.3,128.4,36.3,24.9,5.18,188,971,10,2850,2214.4,1437.4,535.1,348.3,47.51,1966,8319,100
tim,10:27 PM,202,3:41 AM,97.1,62.4,19.6,12.6,3.37,66,327,3,2850,2214.4,1437.4,535.1,348.3,47.51,1966,8319,100
Troy,8:11 AM,244,3:43 PM,217.6,117.3,50.9,27.4,4.07,207,885,11,2850,2214.4,1437.4,535.1,348.3,47.51,1966,8319,100

