Pickface,Stock Code,Picker,Warehouse Qty,Pickface Qty,Ordered:,Picked:,Difference
8.36.3.40,11610051,gregory,0.0,0.0,2.0,1.0,1.0
8.11.1.10,11430610,levi,191.525,191.525,4.8,4.74,0.05999999999999961
8.16.3.15,11570567,ben,5.0,5.0,10.0,0.0,10.0
5.14.4.90,11040413,gregory,5.0,5.0,6.0,0.0,6.0
10.03.1.10,11490845,levi,1.0,1.0,10.0,0.0,10.0
5.10.2.10,11580214,gregory,1166.086,216.41,17.7,16.226,1.4740000000000002
8.18.1.20,11570536,gregory,3.0,3.0,10.0,7.0,3.0
1.05.1.40,11100521,ben,0.0,0.0,12.0,1.0,11.0
A.01.1.60,11440324,mick,-10.0,-10.0,10.0,4.0,6.0
6.22.1.20,11510181,kane,158.0,0.0,1.0,0.0,1.0
8.11.2.50,11570534,lachlyn,90.0,-3.0,4.0,0.0,4.0
1.16.2.50,11050102,lachlyn,5.0,-80.0,96.0,95.0,1.0
5.14.3.50,11121102,damir,1.15,1.15,3.0,1.15,1.85
5.14.3.80,11120002,damir,6.76,6.76,3.0,1.61,1.39
5.14.3.80,11120002,damir,5.15,5.15,2.0,0.0,2.0
5.14.4.90,11040413,damir,5.0,5.0,5.0,0.0,5.0
5.04.1.10,11440012,kane,5.0,5.0,2.0,1.0,1.0
3.07.2.10,11180019,damir,10.0,10.0,2.0,0.0,2.0
3.07.2.30,11180020,damir,15.0,5.0,2.0,0.0,2.0
4.12.4.60,11360005,gregory,0.0,0.0,36.0,19.0,17.0
A.02.1.70,11440315,levi,4.0,4.0,20.0,10.0,10.0
2.13.4.60,11320472,levi,24.0,11.0,1.0,0.0,1.0
6.18.3.10,11070001,gregory,18.0,6.0,3.0,2.0,1.0
1.14.2.10,11650661,gregory,3.0,3.0,12.0,0.0,12.0
3.05.2.40,11040453,gregory,0.0,0.0,2.0,1.0,1.0
5.11.1.40,11430281,gregory,7.349,7.349,10.0,8.235,1.7650000000000006
5.12.2.20,11430222,gregory,5.98,5.98,5.0,0.0,5.0
