Pickface,Stock Code,Picker,Warehouse Qty,Pickface Qty,Ordered:,Picked:,Difference
4.17.2.70,11020201,justin,11.0,11.0,6.0,0.0,6.0
4.17.2.70,11020201,justin,11.0,11.0,4.0,0.0,4.0
1.02.2.20,11100024,steve,9.0,9.0,6.0,1.0,5.0
4.17.1.80,11550016,justin,0.0,0.0,3.0,1.0,2.0
A.03.3.40,11050213,steve,0.0,0.0,24.0,17.0,7.0
A.02.1.10,11440117,davidm,36.0,36.0,1.0,0.0,1.0
A.02.1.10,11440117,tim,36.0,36.0,3.0,0.0,3.0
5.13.1.20,11430601,gregory,93.848,93.848,10.0,9.447,0.5530000000000008
8.16.3.10,11570317,gregory,64.0,53.0,6.0,0.0,6.0
A.02.1.10,11440117,tim,36.0,36.0,1.0,0.0,1.0
C.01.2.20,11120922,tim,31.454,3.864,4.0,3.97,0.029999999999999805
5.08.2.80,11130148,spiro,470.743,470.743,108.0,107.11,0.8900000000000006
A.02.1.10,11440117,gregory,36.0,36.0,3.0,0.0,3.0
A.02.1.10,11440117,gregory,36.0,36.0,2.0,0.0,2.0
2.13.3.90,11360009,levi,0.0,0.0,2.0,1.0,1.0
A.02.1.10,11440117,samt,36.0,36.0,2.0,0.0,2.0
2.16.3.40,11340141,davidm,3.0,3.0,4.0,3.0,1.0
D.01.3.20,11020196,samt,66.0,66.0,1.0,0.0,1.0
A.02.1.10,11440117,samt,36.0,36.0,3.0,0.0,3.0
A.02.1.10,11440117,samt,36.0,36.0,1.0,0.0,1.0
A.02.1.10,11440117,samt,36.0,36.0,2.0,0.0,2.0
5.12.1.20,11430628,gregory,514.8,227.51,3.0,2.972,0.028000000000000025
9.03.4.35,11490331,gregory,6.0,6.0,1.0,0.0,1.0
8.02.1.10,11130002,davidm,-1.0,-1.0,6.0,1.0,5.0
A.01.1.30,11440324,tim,14.0,14.0,10.0,2.0,8.0
5.04.1.10,11440012,tim,6.0,6.0,6.0,1.0,5.0
A.02.1.10,11440117,tim,36.0,36.0,2.0,0.0,2.0
5.04.1.10,11440012,kane,6.0,6.0,2.0,0.0,2.0
8.16.3.10,11570317,damir,53.0,52.0,1.0,0.0,1.0
D.01.3.20,11020196,damir,6.0,6.0,6.0,0.0,6.0
COI,11590133,damir,-0.004,-0.004,2.0,0.0,2.0
D.01.3.20,11020196,Troy,66.0,66.0,10.0,0.0,10.0
10.06.2.60,11490394,justin,0.0,0.0,3.0,2.0,1.0
9.08.1.40,11160292,steve,172.0,-10.0,3.0,0.0,3.0
7.16.2.50,11490724,gregory,16.0,16.0,1.0,0.0,1.0
7.15.2.80,11496128,gregory,0.0,0.0,5.0,4.0,1.0
2.01.2.80,11100030,levi,0.0,0.0,12.0,5.0,7.0
9.01.2.50,11490384,justin,0.0,0.0,2.0,1.0,1.0
4.11.3.30,11160215,levi,0.0,0.0,2.0,1.0,1.0
COI,11430100,gregory,5.0,5.0,5.0,0.0,5.0
4.17.2.70,11020201,gregory,11.0,11.0,12.0,0.0,12.0
8.02.1.10,11130002,levi,-1.0,-1.0,12.0,0.0,12.0
8.24.3.10,11610015,levi,0.0,0.0,3.0,2.0,1.0
10.02.1.10,11490843,gregory,225.0,225.0,5.0,1.0,4.0
A.01.1.20,11440313,davidm,14.0,14.0,10.0,0.0,10.0
A.01.1.20,11440314,davidm,15.0,15.0,20.0,16.0,4.0
8.37.4.80,11070349,kane,2.0,-10.0,30.0,0.0,30.0
1.15.2.10,11440961,damir,-2.0,-2.0,6.0,5.0,1.0
C.01.1.110,11590238,Troy,3.838,3.838,10.0,0.0,10.0
4.17.3.20,11010109,damir,0.0,0.0,5.0,2.0,3.0
8.12.3.75,11650750,damir,0.0,0.0,8.0,3.0,5.0
D.01.1.40,11150065,mick,0.0,0.0,30.0,23.0,7.0
5.14.3.30,11121104,steve,109.104,93.309,2.0,1.031,0.9690000000000001
8.11.1.40,11430423,steve,206.1,206.1,3.0,2.752,0.24800000000000022
D.01.2.15,11490839,steve,0.0,0.0,3.0,2.0,1.0
8.23.2.50,11430621,steve,187.34,24.41,20.0,18.85,1.1499999999999986
5.15.3.20,11120306,steve,139.156,53.081,3.0,2.98,0.020000000000000018
A.01.1.50,11440104,davidm,0.0,0.0,8.0,1.0,7.0
4.16.3.75,11020172,gregory,0.0,0.0,4.0,3.0,1.0
A.01.1.20,11440313,steve,0.0,-2.0,24.0,23.0,1.0
5.04.1.10,11440012,steve,6.0,6.0,16.0,0.0,16.0
5.15.2.35,11580080,steve,11.0,8.0,12.0,8.0,4.0
8.37.4.80,11070349,steve,0.0,-12.0,4.0,2.0,2.0
5.04.2.50,11220001,damir,0.0,0.0,10.0,7.0,3.0
9.06.2.40,11370145,kane,0.0,0.0,4.0,3.0,1.0
7.08.1.10,11340008,mick,2.0,2.0,5.0,2.0,3.0
8.11.1.10,11430610,mick,153.185,153.185,4.8,4.78,0.019999999999999574
S.0.0.1,11490362,mick,1.0,1.0,1.0,0.0,1.0
A.01.1.30,11440324,mick,17.0,17.0,4.0,0.0,4.0
5.15.2.35,11580080,mick,11.0,3.0,2.0,0.0,2.0
8.02.2.30,11130023,levi,0.0,0.0,8.0,5.0,3.0
FOI,11480106,mick,10.0,0.0,10.0,0.0,10.0
C.01.2.10,11590140,justin,-0.002,-0.002,1.0,0.0,1.0
10.01.2.10,11490789,steve,103.0,83.0,1.0,0.0,1.0
A.03.3.10,11650502,steve,107.0,-25.0,36.0,30.0,6.0
A.03.3.10,11650502,mick,102.0,-30.0,12.0,5.0,7.0
5.04.1.10,11440012,mick,6.0,6.0,1.0,0.0,1.0
5.11.2.90,11120812,mick,16.0,16.0,2.0,0.0,2.0
5.04.1.10,11440012,davidm,6.0,6.0,8.0,0.0,8.0
8.25.2.60,11430902,mick,184.69,36.818,20.0,19.38,0.620000000000001
5.01.2.60,11580082,gregory,233.177,54.897,2.5,2.434,0.06599999999999984
5.04.1.10,11440012,damir,6.0,6.0,5.0,0.0,5.0
5.14.2.80,11120612,owenl,67.2,67.2,10.0,9.72,0.27999999999999936
A.03.3.20,11650036,Troy,16.0,21.0,10.0,1.0,9.0
5.10.2.10,11580214,kane,150.323,16.172,17.7,9.54,8.16
C.01.2.60,11040103,damir,1.305,1.305,2.0,1.305,0.6950000000000001
A.01.1.20,11440313,justin,18.0,18.0,20.0,0.0,20.0
A.01.1.20,11440315,justin,11.0,11.0,8.0,2.0,6.0
C.01.1.20,11590160,davidm,1.0,1.0,1.0,0.0,1.0
3.12.1.30,11650072,justin,-1.0,-1.0,1.0,0.0,1.0
A.03.3.10,11650502,justin,95.0,-37.0,2.0,0.0,2.0
4.13.3.40,11360046,davidm,1.0,1.0,1.0,0.0,1.0
