user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33,Day_of_Week
ben,10:09 PM,290,6:19 AM,279.7,165.4,80.7,47.7,4.83,390,1352,20,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100,1
damir,8:05 AM,284,6:23 AM,293.5,62.3,56.6,12.0,4.73,268,1389,14,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100,1
davidm,10:11 PM,35,11:02 PM,150.9,102.6,60.0,40.8,0.58,35,88,2,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100,1
jackr,4:32 AM,72,5:56 AM,143.3,123.7,70.8,61.1,1.2,85,172,4,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100,1
jessek,4:35 AM,128,6:48 AM,114.4,109.9,53.4,51.3,2.13,114,244,6,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100,1
justin,7:52 PM,102,9:59 PM,120.0,96.0,37.1,29.7,1.7,63,204,3,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100,1
kane,7:04 AM,139,10:32 AM,234.4,156.6,58.7,39.2,2.32,136,543,7,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100,1
lachlyn,5:43 AM,14,6:00 AM,377.1,310.6,47.1,38.8,0.23,11,88,1,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100,1
levi,8:30 PM,248,1:42 AM,162.1,128.9,45.0,35.8,4.13,186,670,10,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100,1
steve,8:25 PM,283,3:08 AM,197.0,138.4,57.0,40.1,4.72,269,929,14,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100,1
tim,10:22 PM,325,6:00 AM,113.7,80.6,43.6,30.9,5.42,236,616,12,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100,1
Troy,8:03 AM,185,1:51 PM,195.2,103.8,48.6,25.9,3.08,150,602,8,2105,2381.3,1578.8,658.6,453.3,35.07,1943,6897,100,1
damir,6:27 AM,197,11:28 AM,148.0,96.9,62.7,41.1,3.28,206,486,26,896,922.5,446.1,215.8,113.0,14.92,780,3274,100,2
kane,6:56 AM,116,2:47 PM,328.4,80.8,56.9,14.0,1.93,110,635,14,896,922.5,446.1,215.8,113.0,14.92,780,3274,100,2
lachlyn,6:45 AM,281,2:52 PM,264.3,152.3,58.1,33.5,4.68,272,1238,35,896,922.5,446.1,215.8,113.0,14.92,780,3274,100,2
Troy,8:17 AM,302,4:10 PM,181.8,116.1,38.1,24.4,5.03,192,915,25,896,922.5,446.1,215.8,113.0,14.92,780,3274,100,2
ben,10:09 PM,254,5:54 AM,227.0,123.8,82.9,45.2,4.23,351,961,29,1219,1817.5,1660.2,418.2,352.2,20.32,1214,3743,100,3
gregory,9:42 PM,367,4:59 AM,139.1,116.8,47.1,39.5,6.12,288,851,24,1219,1817.5,1660.2,418.2,352.2,20.32,1214,3743,100,3
jessek,4:27 AM,99,6:35 AM,189.7,147.0,57.0,44.1,1.65,94,313,8,1219,1817.5,1660.2,418.2,352.2,20.32,1214,3743,100,3
lachlyn,5:24 AM,79,6:43 AM,98.0,98.5,53.2,53.4,1.32,70,129,6,1219,1817.5,1660.2,418.2,352.2,20.32,1214,3743,100,3
levi,8:05 PM,415,5:45 AM,203.7,145.5,58.0,41.4,6.92,401,1409,33,1219,1817.5,1660.2,418.2,352.2,20.32,1214,3743,100,3
mick,6:02 AM,5,6:07 AM,960.0,1028.6,120.0,128.6,0.08,10,80,1,1219,1817.5,1660.2,418.2,352.2,20.32,1214,3743,100,3
ben,10:18 PM,213,5:55 AM,220.3,102.7,78.3,36.5,3.55,278,782,18,8498,1612.4,855.8,479.0,262.9,141.64,1538,5405,100,4
