user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Items/hr(Shift),Lines_Per_Hour2,Lines/hr(Shift),Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Day_of_Week
ben,10:13 PM,147,3:37 AM,303.7,138.0,88.2,40.1,2.45,216,744,15,1
davidm,10:11 PM,240,5:23 AM,146.0,81.2,54.5,30.3,4.0,218,584,15,1
gregory,10:08 PM,395,5:12 AM,121.1,112.7,35.1,32.7,6.58,231,797,16,1
justin,6:33 PM,333,2:07 AM,122.2,89.5,42.9,31.4,5.55,238,678,16,1
levi,10:08 PM,231,3:37 AM,151.2,106.0,42.9,30.1,3.85,165,582,11,1
spiro,12:23 AM,194,4:12 AM,189.3,160.5,34.6,29.4,3.23,112,612,8,1
steve,8:08 PM,313,3:39 AM,139.6,96.8,47.7,33.1,5.22,249,728,17,1
tim,2:36 AM,46,3:35 AM,31.3,24.5,27.4,21.4,0.77,21,24,1,1
ben,10:12 PM,149,3:19 AM,234.8,113.9,71.3,34.6,2.48,177,583,11,2
davidm,10:11 PM,246,5:18 AM,224.6,129.3,62.0,35.7,4.1,254,921,16,2
gregory,10:13 PM,283,5:09 AM,177.5,120.6,39.0,26.5,4.72,184,837,11,2
justin,5:47 PM,370,1:32 AM,119.4,95.0,39.7,31.6,6.17,245,736,15,2
kane,8:10 AM,142,1:14 PM,207.9,97.0,47.3,22.1,2.37,112,492,7,2
lachlyn,8:42 AM,144,3:22 PM,162.5,58.4,42.1,15.1,2.4,101,390,6,2
levi,1:14 AM,38,3:01 AM,47.4,16.8,15.8,5.6,0.63,10,30,1,2
logan,1:22 AM,257,5:39 AM,39.2,39.1,2.6,2.6,4.28,11,168,1,2
nateh,1:14 PM,107,3:17 PM,131.8,115.2,29.2,25.5,1.78,52,235,3,2
steve,8:18 PM,213,2:52 AM,179.4,97.2,54.4,29.4,3.55,193,637,12,2
Troy,8:10 AM,272,3:38 PM,255.2,155.1,59.3,36.1,4.53,269,1157,17,2
ben,10:37 PM,7,10:49 PM,197.1,110.3,77.1,43.1,0.12,9,23,1,3
damir,8:03 AM,268,2:37 PM,276.9,188.4,44.3,30.2,4.47,198,1237,16,3
davidm,10:15 PM,183,4:05 AM,169.5,88.6,43.6,22.8,3.05,133,517,11,3
gregory,10:12 PM,262,3:37 AM,116.3,93.8,27.7,22.3,4.37,121,508,10,3
justin,6:18 PM,278,1:18 AM,110.5,73.0,37.3,24.7,4.63,173,512,14,3
