Delivery Run,Total Lines,Picked Lines,Completed (%),# of Orders,Picked Orders,Units Ordered,Units Picked,Date
2nd Run,93,86,92.47%,14,14,281,266,2023-12-08
Pick Up Window 2,29,29,100.00%,6,6,139,139,2023-12-08
Pallet Run 3,59,59,100.00%,3,3,212,212,2023-12-08
Hamilton Island,5,2,40.00%,1,1,2,2,2023-12-08
pick Up Window 1,6,3,50.00%,3,3,7,7,2023-12-10
Proserpine Run,68,68,100.00%,4,4,151,150,2023-12-10
Pick Up Window 2,12,9,75.00%,7,7,21,18,2023-12-10
Pallet Run 3,64,63,98.44%,3,3,232,222,2023-12-10
Pallet Run 2,126,124,98.41%,8,8,500,502,2023-12-10
Cannonvale,154,151,98.05%,14,14,463,461,2023-12-10
Mackay,477,465,97.48%,34,34,1274,1255,2023-12-10
Hayman Stores,43,39,90.70%,2,2,276,276,2023-12-10
Hayman Retail,56,54,96.43%,1,1,563,563,2023-12-10
Hayman Comms,283,226,79.86%,12,12,1800,1682,2023-12-10
Hamilton Island Warehouse,20,15,75.00%,1,1,1539,1509,2023-12-10
Hamilton Island,59,55,93.22%,3,3,244,222,2023-12-10
Daydream,365,337,92.33%,7,7,2456,2215,2023-12-10
Bowen,68,62,91.18%,12,12,232,218,2023-12-10
Airlie Run,257,250,97.28%,22,22,661,655,2023-12-10
2nd Run,46,43,93.48%,8,8,117,103,2023-12-10
Pallet Run 1,148,145,97.97%,10,10,640,607,2023-12-10
Proserpine Run,152,147,96.71%,4,4,639,611,2023-12-11
Pick Up Window 2,18,15,83.33%,12,12,122,119,2023-12-11
Pallet Run 2,82,81,98.78%,6,6,200,199,2023-12-11
Shute,6,6,100.00%,1,1,20,20,2023-12-11
pick Up Window 1,48,46,95.83%,5,5,142,150,2023-12-11
Pallet Run 1,105,104,99.05%,8,8,510,522,2023-12-11
2nd Run,73,69,94.52%,15,15,338,313,2023-12-11
Hayman Stores,52,43,82.69%,4,4,303,300,2023-12-11
Hayman Retail,56,54,96.43%,1,1,563,563,2023-12-11
Hayman Diner,17,13,76.47%,2,2,87,87,2023-12-11
Hayman Comms,803,681,84.81%,28,28,3886,3746,2023-12-11
Hamilton Island Warehouse,20,15,75.00%,1,1,1539,1509,2023-12-11
Hamilton Island,863,712,82.50%,33,33,3608,3509,2023-12-11
Dingo Run,42,42,100.00%,4,4,127,126,2023-12-11
Daydream,374,343,91.71%,8,8,2471,2228,2023-12-11
Collinsville,188,184,97.87%,15,15,628,612,2023-12-11
Cannonvale,32,32,100.00%,6,6,109,111,2023-12-11
Airlie Run,85,82,96.47%,12,12,169,152,2023-12-11
Mackay,258,253,98.06%,20,20,730,721,2023-12-11
pick Up Window 1,32,30,93.75%,2,2,78,79,2023-12-12
Pick Up Window 2,6,6,100.00%,5,5,101,101,2023-12-12
Proserpine Run,102,99,97.06%,10,10,215,215,2023-12-12
Pallet Run 2,18,17,94.44%,1,1,52,49,2023-12-12
Pallet Run 1,95,92,96.84%,7,7,425,434,2023-12-12
Hayman Stores,9,4,44.44%,2,2,27,24,2023-12-12
Airlie Run,73,68,93.15%,17,17,164,149,2023-12-12
Bowen,73,72,98.63%,12,12,343,347,2023-12-12
Cannonvale,73,73,100.00%,9,9,153,154,2023-12-12
Daydream,8,4,50.00%,4,4,50,48,2023-12-12
2nd Run,110,108,98.18%,15,15,384,369,2023-12-12
Hamilton Island,884,733,82.92%,35,35,3674,3570,2023-12-12
Hayman Comms,523,456,87.19%,19,19,2116,2094,2023-12-12
Hayman Diner,531,505,95.10%,3,3,4765,4932,2023-12-12
Hayman Retail,37,34,91.89%,1,1,177,176,2023-12-12
Mackay,298,293,98.32%,26,26,777,789,2023-12-12
Pallet Run 2,84,83,98.81%,4,4,225,218,2023-12-13
Shute,55,54,98.18%,3,3,104,105,2023-12-13
Pick Up Window 2,25,24,96.00%,8,8,37,37,2023-12-13
pick Up Window 1,79,74,93.67%,9,9,168,167,2023-12-13
Pallet Run 1,116,115,99.14%,8,8,455,445,2023-12-13
Hayman Island,8,6,75.00%,1,1,20,20,2023-12-13
Mackay,260,254,97.69%,26,26,749,748,2023-12-13
Airlie Run,113,108,95.58%,16,16,410,387,2023-12-13
Cannonvale,56,54,96.43%,9,9,175,173,2023-12-13
Collinsville,90,87,96.67%,14,14,219,212,2023-12-13
Daydream,8,4,50.00%,4,4,50,48,2023-12-13
2nd Run,234,232,99.15%,20,20,545,541,2023-12-13
Dingo Run,50,50,100.00%,7,7,193,196,2023-12-13
Hamilton Island,768,609,79.30%,33,33,3155,3064,2023-12-13
Hamilton Island Warehouse,19,14,73.68%,1,1,791,770,2023-12-13
Hayman Comms,3,1,33.33%,3,3,30,30,2023-12-13
Hayman Diner,530,504,95.09%,2,2,4725,4890,2023-12-13
Pallet,242,235,97.11%,19,19,1186,1160,2023-12-14
Bowen,129,124,96.12%,20,20,433,399,2023-12-14
Cannonvale,168,164,97.62%,16,16,466,447,2023-12-14
Hamilton Island,756,593,78.44%,30,30,3073,2994,2023-12-14
Hamilton Island Warehouse,19,14,73.68%,1,1,791,770,2023-12-14
Hayman Diner,1,1,100.00%,1,1,2,1,2023-12-14
Hayman Retail,10,8,80.00%,1,1,8,8,2023-12-14
Mackay,301,290,96.35%,27,27,815,811,2023-12-14
North Mackay,117,115,98.29%,10,10,225,223,2023-12-14
Airlie Run,111,105,94.59%,21,21,302,293,2023-12-14
Pallet Run 1,49,48,97.96%,3,3,204,192,2023-12-14
Proserpine Run,113,112,99.12%,16,16,241,239,2023-12-14
Pallet Run 3,83,79,95.18%,6,6,309,292,2023-12-14
pick Up Window 1,50,44,88.00%,7,7,116,105,2023-12-14
Pick Up Window 2,37,32,86.49%,15,15,70,70,2023-12-14
2nd Run,227,222,97.80%,27,27,556,541,2023-12-14
Pallet Run 2,184,183,99.46%,8,8,646,645,2023-12-14
WH,1,0,0.00%,1,1,1,0,2023-12-14
Hayman Retail,10,8,80.00%,1,1,8,8,2023-12-14
2nd Run,227,222,97.80%,27,27,556,541,2023-12-14
Airlie Run,111,105,94.59%,21,21,302,293,2023-12-14
Bowen,129,124,96.12%,20,20,433,399,2023-12-14
Cannonvale,168,164,97.62%,16,16,466,447,2023-12-14
Hamilton Island,756,593,78.44%,30,30,3073,2994,2023-12-14
Hamilton Island Warehouse,19,14,73.68%,1,1,791,770,2023-12-14
Hayman Diner,1,1,100.00%,1,1,2,1,2023-12-14
Mackay,301,290,96.35%,27,27,815,811,2023-12-14
North Mackay,117,115,98.29%,10,10,225,223,2023-12-14
Pallet,242,235,97.11%,19,19,1186,1160,2023-12-14
Pallet Run 2,184,183,99.46%,8,8,646,645,2023-12-14
Pallet Run 3,83,79,95.18%,6,6,309,292,2023-12-14
pick Up Window 1,50,44,88.00%,7,7,116,105,2023-12-14
Pick Up Window 2,37,32,86.49%,15,15,70,70,2023-12-14
Proserpine Run,113,112,99.12%,16,16,241,239,2023-12-14
Pallet Run 1,49,48,97.96%,3,3,204,192,2023-12-14
WH,1,0,0.00%,1,1,1,0,2023-12-14
